"","Id","Portfolio Dept?","Title","Portfolio","Classification","Type of Body","GFS Sector Classification","Materiality","Description","Established By / Under","Established by / Under More Info","Creation Date","GFS Function / Sector Reported","PS Act Body","Average Staffing Level (ASL)","Max No. of  Board / Committee Members","Paid Members?","Board / Committee Appointed by","Board / Committee Appointed More Info","Annual Report Prepared and Tabled?","Auditor","Auditor Other","ABN","Parent Organisation","Parent Board / Non-Board Title","2018-19 Budget, Total Appropriations ($000)","2018-19 Budget, Total Departmental Expenses ($000)","Head Office Street Address","Head Office Suburb","Head Office State","Head Office Postcode","Head Office Country","Website Address","Strategic / Corporate / Organisational Plan","Annual Reports"
"21","B-002140","","Advisory Committee on Social, Economic and Environmental Sciences","Agriculture and Water Resources","B. Secondary","E. Statutory Office Holder Offices and Committees","","","The Advisory Committee on Social, Economic and Environmental Sciences (ACSEES) is established by the Murray-Darling Basin Authority (MDBA) as an advisory committee under the Water Act. The committee's role is to provide strategic advice on science and knowledge to underpin the implementation of an adaptive Basin Plan. The committee consists of six members who bring a depth of understanding of issues relevant to implementing the Basin Plan. Members provide skills and eminence in fields of economics, hydrology, ecology and resilience, water governance and law, sociology and sustainable systems.

ACSEES is specifically established to provide scientific advice including on social and economic matters. The MDBA will also take advice from other high level advisory committees including the Basin Community Committee and the Northern Basin Advisory Committee which have been established to specifically provide local and community input in Basin Plan matters.","Act / Regulation","","26 Oct 2012","","","","","","","","No, but noted in parent's annual report","ANAO","","13 679 821 382","Murray-Darling Basin Authority","","","","Level 4, 51 Allara St","Canberra City","ACT","","Australia","http://www.mdba.gov.au/about-us/governance/advisory-committee-social-economic-environmental-sciences","http://www.mdba.gov.au/about-us/accountability-reporting","http://www.mdba.gov.au/about-us/accountability-reporting"
"22","B-002141","","Agricultural Finance Forum","Agriculture and Water Resources","B. Secondary","D. Advisory Body - Policy and Stakeholder Consultation","","","The Agricultural Finance Forum (AFF) exists to enhance the competitiveness, profitability and sustainability of Australian agriculture by fostering strong relationships between the agri-finance sector and Australian agribusiness and progressing matters of mutual interest.","Minister","","01 Jul 1997","","","","0","No","","","","","","","Department of Agriculture and Water Resources","","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","http://www.agriculture.gov.au/agriculture-food/aff","",""
"23","B-002142","","Agricultural Industry Advisory Council","Agriculture and Water Resources","B. Secondary","D. Advisory Body - Policy and Stakeholder Consultation","","","The Agricultural Industry Advisory Council (AIAC) advises the Minister for Agriculture and Water Resources on a range of matters and challenges related to the agriculture, fishing, forestry and water sectors. AIAC is chaired by the Minister for Agriculture and Water Resources (who is not included in the member count).","Minister","","29 Jan 2014","","","","12","No","Ministerial","","","","","","Department of Agriculture and Water Resources","","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","http://www.agriculture.gov.au/about/who-we-are/portfolio-agencies#nonstatutory-bodies","",""
"24","B-002143","","Agriculture Ministers Forum","Agriculture and Water Resources","B. Secondary","G. Ministerial Councils and Related Bodies including those Established by the COAG","","","The Agriculture Ministers' Forum (AGMIN) membership comprises Australian/state/territory and New Zealand government ministers with responsibility for primary industries, and is chaired by the Australian Government Minister for Agriculture and Water Resources. The role of AGMIN is to enable cross-jurisdictional cooperative and coordinated approaches to matters of national interest. AGMIN is the peak forum to collaborate on priority issues of national significance affecting Australia's primary production sectors including fisheries and forestry.","International Agreement / Treaty / Council Order","","02 May 2014","","","","","","","","","","","","Department of Agriculture and Water Resources","","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","http://www.agriculture.gov.au/about/who-we-are/portfolio-agencies#nonstatutory-bodies","",""
"25","B-002144","","Agriculture Senior Officials Committee","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Agriculture Senior Officials' Committee (AGSOC) comprises all department heads and CEOs of Australian / State / Territory and New Zealand Government agencies responsible for primary industries policy issues. It is chaired by the Secretary of the Australian Government Department of Agriculture and Water Resources. AGSOC provides for cross-jurisdictional cooperative and coordinated approaches to matters of national interest. It also supports the Agriculture Ministers' Forum (AGMIN) in achieving its objectives. AGSOC has a number of sub-committees and task groups that report to it for defined work.","International Agreement / Treaty / Council Order","","28 Mar 2014","","","","","","","","","","","","Department of Agriculture and Water Resources","","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","http://www.agriculture.gov.au/about/who-we-are/portfolio-agencies#nonstatutory-bodies","",""
"26","B-003214","","Agriculture Senior Officials Committee - Agvet Chemicals Task Group","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Agvet Chemicals Task Group has been formed by the Agriculture Senior Officials' Committee (AGSOC). Task groups all have an AGSOC sponsor; will, generally, be time limited; meet as required; prepare material and report on an 'as needs' basis, when requested by AGSOC. Task groups focus on items of significant national interest.

The Agvet Chemicals Task Group (ACTG) oversees the implementation of reforms to agricultural chemicals and veterinary medicines control of use regulation and identify areas for future reform.

Membership of the ACTG comprises of representatives from each state and territory government and the Australian Government. The ACTG directly reports to the Agriculture Senior Officials' Committee (AGSOC) and through AGSOC to the Agriculture Ministers' Forum.

The Commonwealth is the lead jurisdiction for this task group and the Australian Government Department of Agriculture  and Water Resources provides secretariat functions for this committee.","Committee, Council, Board, Forum","","28 Mar 2014","","","","","","","","","","","","","Agriculture Senior Officials Committee","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","","",""
"27","B-003215","","Agriculture Senior Officials Committee - Drought Task Group","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The AGSOC Drought Task Group was formed by the Agriculture Senior Officials Committee (AGSOC). Task groups all have an AGSOC sponsor; will, generally, be time limited; meet as required; prepare material and report on an 'as needs' basis, when requested by AGSOC. Task groups focus on items of significant national interest. The Commonwealth is the lead jurisdiction for this task group and the Australian Government Department of Agriculture and Water Resources provides secretariat functions for this committee.","Committee, Council, Board, Forum","","28 Mar 2014","","","","","","","","","","","","","Agriculture Senior Officials Committee","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","","",""
"28","B-002145","","Agriculture Senior Officials Committee - National Biosecurity Committee","Agriculture and Water Resources","B. Secondary","G. Ministerial Councils and Related Bodies including those Established by the COAG","","","The National Biosecurity Committee (NBC) is formally established under the Intergovernmental Agreement on Biosecurity (IGAB). The NBC provides strategic leadership in managing national approaches to emerging and ongoing biosecurity policy issues across jurisdictions and sectors, and provides advice to the Agriculture Senior Officials' Committee (AGSOC) and the Agricultural Ministers' Forum (AGMIN). The NBC takes an overarching, cross-sectoral approach to national biosecurity policy, and works collaboratively to achieve national policy objectives for biosecurity in Australia.

The Secretary of the Australian Government Department of Agriculture and Water Resources chairs the NBC as a member of AGSOC. The Australian Government is also represented by the Department of Agriculture and Water Resources' Deputy Secretary, Biosecurity, and a Deputy Secretary from the Australian Government Department of the Environment. Remaining members are senior representatives from primary industry or environment departments responsible for biosecurity matters in each state or territory. The jurisdictions may have up to two representatives.

The Commonwealth is the lead jurisdiction for this task group and the Australian Government Department of Agriculture  and Water Resources provides secretariat functions for this committee.","Agreement / Treaty / Council Order","","13 Jan 2012","","","","","","","","","","","","Department of Agriculture and Water Resources","","","","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","http://www.agriculture.gov.au/biosecurity/partnerships/nbc","http://www.agriculture.gov.au/biosecurity/partnerships/nbc/intergovernmental-agreement-on-biosecurity",""
"29","B-003216","","Agriculture Senior Officials Committee - Primary Industries Technical Market Acc","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Primary Industries Technical Market Access and Trade Development Task Group has been formed by the Agriculture Senior Officials' Committee (AGSOC). Task groups all have an AGSOC sponsor; will, generally, be time limited; meet as required; prepare material and report on an 'as needs' basis, when requested by AGSOC. Task groups focus on items of significant national interest.

This task group provides the basis for a coordinated approach between the Commonwealth and state and territory governments on agriculture, food and fibre fisheries and forestry market access issues. The lack of alignment and coordination between jurisdictions has hindered the effectiveness of Australia's market access efforts and the group will support a more collaborative and consistent approach between governments on behalf of Australia's agricultural and food sectors. 

The Commonwealth is the lead jurisdiction for this task group and the Australian Government Department of Agriculture and Water Resources provides secretariat functions for this committee.","Committee, Council, Board, Forum","","28 Mar 2014","","","","","","","","","","","","","Agriculture Senior Officials Committee","","","18 Marcus Clarke St","Canberra","ACT","2600","Australia","","",""
"30","B-003217","","Animal Health Committee","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Animal Health Committee (AHC) sits under the National Biosecurity Committee (NBC) and reports to the Agriculture Senior Officials Committee (AGSOC) through the NBC. The committee comprises the chief veterinary officers (CVOs) of the Commonwealth, states and territories, along with representatives from New Zealand, the Australian Animal Health Laboratory (CSIRO), Animal Health Australia and the Australian Government Department of Agriculture, and observers from Animal Health Australia, Wildlife Health Australia, the Australian Government Department of Environment and Energy and New Zealand. The main purpose of the AHC is to develop science-based and nationally consistent policy on animal health issues and provide advice on animal health to the NBC and AGSOC. The AHC provides leadership in the development and implementation of policy, programmes, operational strategies and standards for Government in the areas of animal health, domestic biosecurity, animal welfare and veterinary public health. The committee meets face-to-face twice a year, with each meeting held in a different state. The chair position is rotated annually between the CVOs. AHC members also meet regularly by teleconference to discuss issues of national importance. A significant amount of business is considered out of session where committee discussion of the issue is not necessary. AHC publishes a newsletter, ?Vet communique?, following each face to face meeting to improve communication links between the AHC and industry bodies.","Committee, Council, Board, Forum","","01 Oct 2002","","","","","","","","","","","","","Agriculture Senior Officials Committee - National Biosecurity Committee","","","7 London Circuit","CANBERRA","ACT","2600","Australia","http://www.agriculture.gov.au/animal-plant-health/animal/committees/ahc","",""
"31","B-002146","","Australian Fisheries Management Forum","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Australian Fisheries Management Forum (AFMF) is an informal network for sharing information between the state and federal government agencies involved in managing fisheries and aquaculture in Australia.  AFMF is comprised of the heads of Commonwealth and state/territory fishery management agencies, with observers from relevant bodies, including the Fisheries Research and Development Corporation.","Committee, Council, Board, Forum","","12 Feb 2002","","","","","","","","","","","","Department of Agriculture and Water Resources","","","","","","","","","","",""
"32","B-003433","","Australian Pesticides and Veterinary Medicines Authority Advisory Board","Agriculture and Water Resources","B. Secondary","E. Statutory Office Holder Offices and Committees","","","The Australian Pesticides and Veterinary Medicines Authority (APVMA) is the Australian Government agency  responsible for the assessment of pesticides and veterinary medicines and their regulation up to and including the point of retail sale. It sits within the portfolio of the Minister for Agriculture and Water Resources.

The APVMA is responsible for administering and managing the national registration scheme for agricultural and veterinary chemicals, which sets out the regulatory framework for the management of pesticides and veterinary medicines in Australia. The APVMA administers the scheme's legislation in partnership with state and territory governments and with the active involvement of other Australian government agencies.

Pesticides and veterinary medicines are vital to quality food and fibre production, animal health and onshore biosecurity and the community. 

The APVMA Chief Executive Officer (CEO)  is supported by an advisory board selected and appointed by the Minister for Agriculture. The CEO is responsible for the governance and management and of the authority, including the performance of its functions and the exercise of its powers. The advisory board provides advice and makes recommendations to the CEO about the performance of a function or exercise of a power of APVMA. The advisory board does not have decision-making power, but assists to inform the CEO on strategic matters and provides an expert consultative mechanism.","Act / Regulation","","15 Jun 1993","","","","9","Yes","Ministerial","","Yes","ANAO","","19 495 043 447","Australian Pesticides and Veterinary Medicines Authority","","","","18 Wormald Street","Symonston","ACT","2609","Australia","http://www.apvma.gov.au/","http://apvma.gov.au/node/11026","http://www.apvma.gov.au/about/corporate/annual_reports/index.php"
"33","B-002148","","Australian Plague Locust Commission","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Australian Plague Locust Commission (APLC) undertakes monitoring of locust populations in inland eastern Australia and manages outbreaks that have the potential to inflict significant damage to agriculture in more than one member state as a result of population build-up and migration.

The role, responsibilities and accountability of the APLC were formally re-negotiated in a memorandum of understanding (MOU) between representatives of the member states' agriculture agencies and the Australian Government Department of Agriculture and Water Resources. APLC is jointly funded by the following Governments - Commonwealth (50 per cent), New South Wales (32.5 per cent), Victoria (10 per cent), South Australia (5 per cent) and Queensland (2.5 per cent).

Established 01-Jul-1976; current MOU commenced 7/11/2002.","Agreement / Treaty / Council Order","","01 Jul 1974","","","","","","","","Yes, but not tabled","ANAO","","24 113 085 695","Department of Agriculture and Water Resources","","","","Level 1, Unit 7, 50 Collie Street","Fyshwick","ACT","2609","Australia","http://www.agriculture.gov.au/animal-plant-health/locusts/role","http://www.agriculture.gov.au/animal-plant-health/locusts/publications","http://www.agriculture.gov.au/animal-plant-health/locusts/publications/annual-activity"
"34","B-002149","","Basin Officials Committee","Agriculture and Water Resources","B. Secondary","E. Statutory Office Holder Offices and Committees","","","The Murray-Darling Basin Officials Committee is established by the Murray-Darling Basin Agreement, Schedule 1 to the Water Act 2007 (Cwlth), as amended. The committee facilitates cooperation and coordination between the Commonwealth, the Murray-Darling Basin Authority and the Basin states in funding works and managing the Basin water and other natural resources. The committee is responsible for providing advice to the Ministerial Council, and for implementing policy and decisions of the council on matters such as state water shares and the funding and delivery of natural resource management programs. The committee has high-level decision-making responsibilities for river operations, including setting objectives and outcomes to be achieved by the authority in Murray River operations. Membership of the committee comprises officials from the six Basin governments, and the committee is chaired by the Commonwealth committee member. The authority's Chair and Chief Executive are non-voting members of the committee.","Act / Regulation","","02 Jul 2007","","","","6","No","Ministerial","","No, but noted in parent's annual report","ANAO","","13 679 821 382","Murray-Darling Basin Authority","","","","Level 4, 51 Allara St","Canberra City","ACT","","Australia","http://www.mdba.gov.au/about-mdba/governance/basin-officials-committee","https://www.mdba.gov.au/publications/policies-guidelines/corporate-plan","https://www.mdba.gov.au/publications/mdba-reports/MDBA-annual-report"
"35","B-002150","","Basin Plan Implementation Committee","Agriculture and Water Resources","B. Secondary","D. Advisory Body - Policy and Stakeholder Consultation","","","An Implementation Agreement (IA) was required under the Murray-Darling Basin Plan. The IA established the Basin Plan Implementation Committee (BPIC), as a high-level forum to monitor, review and make decisions relevant to implementing the Agreement. BPIC is chaired by the MDBA and includes officials from the Basin state agencies responsible for water resource management and environmental watering, the Commonwealth Environmental Water Holder, and the Commonwealth Department of the Environment and Energy. Four BPIC working groups have also been established - on water resource planning, environmental watering, trade rules, and monitoring and evaluation.","Agreement / Treaty / Council Order","","07 Aug 2013","","","","","","","","No, but noted in parent's annual report","ANAO","","13 679 821 382","Murray-Darling Basin Authority","","","","Level 4, 51 Allara St","Canberra City","ACT","","Australia","http://www.mdba.gov.au/about-us/governance/basin-plan-implementation-committee","http://www.mdba.gov.au/about-us/accountability-reporting","http://www.mdba.gov.au/about-us/accountability-reporting"
"36","B-002151","","Basin Senior Officials Group","Agriculture and Water Resources","B. Secondary","H. Inter Jurisdictional and International Bodies","","","The Basin Senior Officials Group (BSOG) is an informal forum for senior water officials from Basin jurisdictions established to discuss and negotiate matters that will enable Basin governments to implement an agreed package of Sustainable Diversion Limit Adjustment Mechanism measures by 30 June 2024.","Committee, Council, Board, Forum","","16 Apr 2015","","","","","","","","No","","","","Department of Agriculture and Water Resources","","","","18 Marcus Clarke Street","Canberra City","ACT","2601","Australia","http://www.agriculture.gov.au","",""
"37","B-002152","","Bass Strait Central Zone Scallop Fishery Management Advisory Committee","Agriculture and Water Resources","B. Secondary","D. Advisory Body - Policy and Stakeholder Consultation","","","The Bass Strait Central Zone Scallop Fishery Management Advisory Committee (Scallop MAC) is the principle forum in which issues relating to the management of scallops in the bass Strait under the jurisdiction of the Commonwealth.

Management Advisory Committees (MACs) are a major source of advice to AFMA, reflecting the experience and expertise of the range of stakeholders with interest in the fishery or fisheries covered by the MAC. MACs play a vital role in helping AFMA to fulfil its legislative functions and effectively pursue its objectives by acting as the main advisory body and link between AFMA and those with an interest in the fishery. MACs also provide advice to AFMA on a variety of issues including fisheries management arrangements, research, compliance and management costs.

In general, MACs provide a forum where issues relating to a fishery are discussed, problems identified and possible solutions developed. The outcomes of these deliberations determine the recommendations that the MAC will make to the AFMA Commission. Generally, MACs are made up of members from commercial industry, fisheries management, the scientific community, the recreational fishing sector, the environment/conservation sector and, in some instances, the state governments.

A typical MAC consists of an independent chairperson, an AFMA member, a research member, up to four industry members, a recreational fishing member and an environment/conservation member. Each MAC has an executive officer responsible to the chairperson. Members are generally appointed for terms of up to three years.","Act / Regulation","","10 Nov 2014","","","","","","","","","","","","Australian Fisheries Management Authority","","","","Level 6, 73 Northbourne Ave","Civic","ACT","2600","Australia","http://www.afma.gov.au/fisheries/committees/scallop-management-advisory-committee-scallopmac/","",""
